ID;Strain;RT_s;Compound;Clasificacion;BioTr_label;BioTr_count;MW;LogP;Silicos_class;GI_abs;BBB;Fold_change;p_value;Significance;Mutagenicity;pNOEC;NOEC;NOEC_num;cat;fqs_sol;fqs_gi;fqs_bbb;fqs_pers;fqs_noec;fqs_cin;FQS
1;StrainC;354.2;2,3-Dihydroxbenzoic Acid/2,4-Dihydroxybenzoic Acid;Otro;Estabilidad Máxima;0;154.12;-1.89;Soluble;High;No;617.6288659793814;0.0157753256592188;Significant Increase;NON-Mutagenic;-0.332;2149.0;2149.0;OTHER;10;10;10;10;10;10;60
2;StrainC;602.5;3-(2,3-Dihydroxyphenyl)propanoic acid;Otro;Estabilidad Máxima;0;182.17;-1.36;Soluble;High;No;321.7871485943775;0.0187474684906312;Significant Increase;NON-Mutagenic;-0.703;5042.0;5042.0;OTHER;10;10;10;10;10;10;60
3;StrainC;306.4;2-Acetolactic acid/4-Hydroxy-2-oxopentanoic acid;Aminoacidos y precursores nitrogenados ;Estabilidad Máxima;0;132.11;-0.07;Soluble;High;No;14.67213114754098;0.02572313506302;Significant Increase;NON-Mutagenic;-0.679;4777.0;4777.0;AMI;10;10;10;10;10;10;60
4;StrainC;180.2;2-Hydroxyglutaric Acid;Otro;Estabilidad Máxima;0;148.11;0.12;Soluble;High;No;8.357738938749803;0.0020400267243543;Significant Increase;NON-Mutagenic;-1124.0;13292.0;13292.0;OTHER;10;10;10;10;10;10;60
5;StrainC;244.459;2-Oxoglutaramic acid;Solubilizadores y transportadores de nutrientes;Asimilación Nutricional Inmediata;114;145.11;0.5;Soluble;High;No;2.625400213447171;0.0331317585852825;Significant Increase;NON-Mutagenic;-2122.0;132413.0;132413.0;SOL;10;10;10;5;10;0;45
6;StrainC;398.254;3-Methyl-2-oxobutanoic acid;Aminoacidos y precursores nitrogenados ;Estabilidad Máxima;0;116.12;-0.88;Soluble;High;No;79.9074074074074;0.005705740665891;Significant Increase;NON-Mutagenic;-1032.0;10765.0;10765.0;AMI;10;10;10;10;10;10;60
7;StrainC;443.955;4-Methyl-2-Oxopentanoic Acid/2-Methyl-3-Ketovaleric Acid/3-Methyl-2-Oxo-Valeric Acid;Otro;Estabilidad Máxima;0;130.14;-1.04;Soluble;High;Yes;36.35164835164835;0.0227980430597147;Significant Increase;NON-Mutagenic;-0.881;7603.0;7603.0;OTHER;10;10;0;10;10;10;50
8;StrainC;307.4;2-Oxoadipic acid;Aminoacidos y precursores nitrogenados ;Estabilidad Máxima;0;160.12;-0.16;Soluble;High;No;5.566147859922178;0.006464651008178;Significant Increase;NON-Mutagenic;-0.488;3078.0;3078.0;AMI;10;10;10;10;10;10;60
9;StrainC;280.4;3,4-Dihydroxybenzoic acid;Fitohormonas y analogos hormonales;Estabilidad Moderada;7;154.12;-1.86;Soluble;High;No;12.65232974910394;0.0259828198635028;Significant Increase;NON-Mutagenic;-0.37;2343.0;2343.0;FIT;10;10;10;7;10;5;52
10;StrainB;280.4;3,4-Dihydroxybenzoic acid;Fitohormonas y analogos hormonales;Estabilidad Moderada;7;154.12;-1.86;Soluble;High;No;35.51075268817204;0.0434212775278425;Significant Increase;NON-Mutagenic;-0.37;2343.0;2343.0;FIT;10;10;10;7;10;5;52
11;StrainD;268.8;3-Aminopropanal;Otro;Estabilidad Máxima;0;73.09;0.65;Soluble;High;No;3.415800415800415;0.0353887436669095;Significant Increase;NON-Mutagenic;-1339.0;21808.0;21808.0;OTHER;10;10;10;10;10;10;60
12;StrainC;246.042;3-Hydroxyisobutyric acid;Aminoacidos y precursores nitrogenados ;Estabilidad Máxima;1;104.1;-0.11;Soluble;High;No;16.41213901125796;0.0038402395149252;Significant Increase;NON-Mutagenic;-1045.0;11082.0;11082.0;AMI;10;10;10;10;10;10;60
13;StrainC;331.906;2-Oxo-2,3-dihydrofuran-5-acetic acid;Otro;Estabilidad Máxima;0;142.11;-0.39;Soluble;High;No;4.298120953734408;0.0151694487183062;Significant Increase;NON-Mutagenic;-1051.0;11251.0;11251.0;OTHER;10;10;10;10;10;10;60
14;StrainC;455.8;Hydrocinnamic Acid/3-Methylphenylacetic Acid;Otro;Estabilidad Máxima;0;150.17;-2.14;Soluble;High;Yes;1.716332378223496;0.0202173865998328;Significant Increase;NON-Mutagenic;-0.901;7967.0;7967.0;OTHER;10;10;0;10;10;10;50
15;StrainD;269.545;Isomer 1 of 4-Aminobutyraldehyde;Otro;Estabilidad Máxima;0;87.12;0.4;Soluble;High;No;1.515882127822426;0.0017141853048934;Significant Increase;NON-Mutagenic;-1205.0;16.04;16.04;OTHER;10;10;10;10;8;10;58
16;StrainB;491.016;4-Hydroxybenzaldehyde/3-Hydroxybenzaldehyde;Otro;Estabilidad Máxima;0;122.12;-1.87;Soluble;High;Yes;2.566420664206642;0.0210159697090903;Significant Increase;NON-Mutagenic;-0.604;4021.0;4021.0;OTHER;10;10;0;10;10;10;50
17;StrainC;316.5;4-Hydroxyphenylacetic acid;Metabolitos de defensa y fitoprotección;Estabilidad Moderada;3;152.15;-1.53;Soluble;High;Yes;54.28998505231689;0.0005031579649658;Significant Increase;NON-Mutagenic;-0.729;5362.0;5362.0;DEF;10;10;0;7;10;5;42
18;StrainC;278.578;4-Hydroxybenzoic acid;Metabolitos de defensa y fitoprotección;Estabilidad Moderada;3;138.12;-2.07;Soluble;High;Yes;4.687012987012987;0.0002923013390733;Significant Increase;NON-Mutagenic;-0.77;5888.0;5888.0;DEF;10;10;0;7;10;5;42
19;StrainC;233.1;5-Aminolevulinic acid/5-Amino-2-oxopentanoic acid;Solubilizadores y transportadores de nutrientes;Estabilidad Máxima;1;131.13;2.01;Soluble;High;No;19.10798122065728;0.0217182206210533;Significant Increase;NON-Mutagenic;-2117.0;130937.0;130937.0;SOL;10;10;10;10;10;10;60
20;StrainC;265.7;5-Aminopentanoic acid;Otro;Estabilidad Máxima;0;117.15;1.35;Soluble;High;No;7.206060606060607;0.0268886335833355;Significant Increase;NON-Mutagenic;-3172.0;1487564.0;1487564.0;OTHER;10;10;10;10;10;10;60
21;StrainC;494.049;Tetrahydropteridine;Otro;Estabilidad Máxima;0;136.15;-1.3;Soluble;High;No;3.167086481947943;0.0056254574476402;Significant Increase;NON-Mutagenic;-0.769;5875.0;5875.0;OTHER;10;10;10;10;10;10;60
22;StrainC;202.8;8-Amino-7-oxononanoic acid;Otro;Estabilidad Máxima;0;187.24;0.82;Soluble;High;No;5.612809315866084;0.0215614572238625;Significant Increase;NON-Mutagenic;-1014.0;10328.0;10328.0;OTHER;10;10;10;10;10;10;60
23;StrainD;267.2;Acetic Acid;Solubilizadores y transportadores de nutrientes;Estabilidad Máxima;0;60.05;-0.08;Soluble;High;No;1.602409638554217;0.0083927916313764;Significant Increase;NON-Mutagenic;-1711.0;51369.0;51369.0;SOL;10;10;10;10;10;10;60
24;StrainC;302.3;Adenine;Polisacaridos y señales de reconocimiento;Estabilidad Máxima;0;135.13;-1.29;Soluble;High;No;2.657943925233645;0.0055050466041042;Significant Increase;Mutagenic;-0.579;3793.0;3793.0;POL;10;10;10;10;10;10;60
25;StrainC;398.959;Anthranilic acid;Aminoacidos y precursores nitrogenados ;Estabilidad Moderada;6;137.14;-1.83;Soluble;High;Yes;8.445839874411305;0.02541323573051;Significant Increase;NON-Mutagenic;-0.949;8884.0;8884.0;AMI;10;10;0;7;10;5;42
26;StrainB;398.959;Anthranilic acid;Aminoacidos y precursores nitrogenados ;Estabilidad Moderada;6;137.14;-1.83;Soluble;High;Yes;2.236600134559318;0.0264510044793827;Significant Increase;NON-Mutagenic;-0.949;8884.0;8884.0;AMI;10;10;0;7;10;5;42
27;StrainC;619.861;Catechol;Metabolitos de defensa y fitoprotección;Estabilidad Máxima;0;110.11;-1.63;Soluble;High;Yes;11.30821917808219;0.0451244986607359;Significant Increase;NON-Mutagenic;-0.56;3.63;3.63;DEF;10;10;0;10;5;10;45
28;StrainC;482.5;2-Methoxy-4-vinylphenol;Otro;Estabilidad Máxima;0;150.17;-2.81;Soluble;High;Yes;11.1888;0.0018938353665705;Significant Increase;NON-Mutagenic;-0.837;6872.0;6872.0;OTHER;10;10;0;10;10;10;50
29;StrainC;441.416;Salicylic Acid;Metabolitos de defensa y fitoprotección;Estabilidad Moderada;5;138.12;-2.5;Soluble;High;Yes;5.375989445910291;0.0349895886991639;Significant Increase;NON-Mutagenic;-0.731;5379.0;5379.0;DEF;10;10;0;7;10;5;42
30;StrainC;448.9;2,3-Dihydroxytoluene;Otro;Estabilidad Máxima;0;124.14;-2.25;Soluble;High;Yes;209.6;0.0076820729917722;Significant Increase;NON-Mutagenic;-1081.0;12038.0;12038.0;OTHER;10;10;0;10;10;10;50
31;StrainC;337.7;Dihydrophloroglucinol;Otro;Estabilidad Máxima;0;128.13;-0.18;Soluble;High;No;5.575124378109452;0.0025089280152256;Significant Increase;NON-Mutagenic;-1497.0;31382.0;31382.0;OTHER;10;10;10;10;10;10;60
32;StrainC;224.7;Gallic Acid;Antioxidades y captadores de ROS;Estabilidad Moderada;7;170.12;-1.64;Soluble;High;No;3.609223300970874;0.0001472655553095;Significant Increase;NON-Mutagenic;-0.398;2498.0;2498.0;AOX;10;10;10;7;10;5;52
33;StrainC;236.513;3-Hydroxy-5-oxohexanoic acid;Otro;Estabilidad Máxima;0;146.14;0.3;Soluble;High;No;70.75697211155378;0.0069588183111893;Significant Increase;NON-Mutagenic;-1911.0;81.4;81.4;OTHER;10;10;10;10;8;10;58
34;StrainC;248.3;3-Succinoylpyridine;Otro;Estabilidad Máxima;0;179.17;-0.75;Soluble;High;No;6.232142857142857;0.0108400335359024;Significant Increase;NON-Mutagenic;-0.46;2886.0;2886.0;OTHER;10;10;10;10;10;10;60
35;StrainC;236.1;3-Hydroxybutyric Acid;Osmoprotectores y tolerancia a estrés abiotico;Estabilidad Máxima;0;104.1;-0.02;Soluble;High;No;14.15925058548009;0.0208846691504126;Significant Increase;NON-Mutagenic;-1906.0;80487.0;80487.0;OSM;10;10;10;10;10;10;60
36;StrainC;375.6;4-Methylthio-2-oxobutanoic acid;Aminoacidos y precursores nitrogenados ;Estabilidad Máxima;0;148.18;-0.65;Soluble;High;No;5.236241610738255;0.0294614678104027;Significant Increase;NON-Mutagenic;0.708;0.196;0.196;AMI;10;10;10;10;2;10;52
37;StrainC;265.493;2,5-Dioxopentanoic acid;Otro;Estabilidad Máxima;0;130.1;0.22;Soluble;High;No;7.062634989200865;0.026690529805225;Significant Increase;NON-Mutagenic;-0.414;2592.0;2592.0;OTHER;10;10;10;10;10;10;60
38;StrainC;535.4;3,4-Dihydroxyphenylacetic acid;Metabolitos de defensa y fitoprotección;Estabilidad Moderada;7;168.15;-1.74;Soluble;High;No;74.16356877323422;0.0293329054661144;Significant Increase;Mutagenic;-0.847;7034.0;7034.0;DEF;10;10;10;7;10;5;52
39;StrainD;363.4;3-(Methylthio)propanoic acid;Otro;Estabilidad Máxima;0;120.17;-0.62;Soluble;High;No;1.709006928406467;0.0439056511503093;Significant Increase;NON-Mutagenic;0.052;0.886;0.886;OTHER;10;10;10;10;2;10;52
40;StrainC;363.4;3-(Methylthio)propanoic acid;Otro;Estabilidad Máxima;0;120.17;-0.62;Soluble;High;No;131.1316397228638;0.0024117830056192;Significant Increase;NON-Mutagenic;0.052;0.886;0.886;OTHER;10;10;10;10;2;10;52
41;StrainC;412.8;Creatine;Aminoacidos y precursores nitrogenados ;Estabilidad Máxima;0;131.13;0.28;Soluble;High;No;5.667210924743951;0.0317298638443319;Significant Increase;NON-Mutagenic;-0.953;8965.0;8965.0;AMI;10;10;10;10;10;10;60
42;StrainC;227.0;L-Cysteine;Otro;Estabilidad Máxima;0;121.16;1.11;Soluble;High;No;2.648489314664702;0.0008713954385238;Significant Increase;Mutagenic;-1226.0;16826.0;16826.0;OTHER;10;10;10;10;10;10;60
43;StrainC;202.529;4-Hydroxy-2-oxoglutaric acid;Otro;Estabilidad Máxima;0;162.1;0.29;Soluble;High;No;3.817647058823529;0.0122223052911305;Significant Increase;NON-Mutagenic;-0.539;3458.0;3458.0;OTHER;10;10;10;10;10;10;60
44;StrainC;215.718;Lactic Acid;Osmoprotectores y tolerancia a estrés abiotico;Estabilidad Máxima;0;90.08;0.12;Soluble;High;No;4.298157453936349;0.0015297965118452;Significant Increase;NON-Mutagenic;-0.828;6728.0;6728.0;OSM;10;10;10;10;10;10;60
45;StrainD;478.704;7,8-Diaminononanoic acid;Otro;Estabilidad Máxima;0;90.08;0.12;Soluble;High;No;4.855382087099426;0.0282469423882818;Significant Increase;NON-Mutagenic;-1508.0;32236.0;32236.0;OTHER;10;10;10;10;10;10;60
46;StrainC;478.704;7,8-Diaminononanoic acid;Otro;Estabilidad Máxima;0;188.27;0.92;Soluble;High;No;2.675431388660641;0.0065656744233158;Significant Increase;NON-Mutagenic;-1508.0;32236.0;32236.0;OTHER;10;10;10;10;10;10;60
47;StrainC;358.6;1,4-Dihydroxy-2-naphthoic acid;Cofactores y vitaminas;Estabilidad Máxima;0;204.18;-3.13;Soluble;High;No;1.372144756117411;0.0086541616267697;Significant Increase;NON-Mutagenic;-0.275;1882.0;1882.0;COF;10;10;10;10;10;10;60
48;StrainC;225.06;2,3-Dihydroxy-3-methylbutanoic acid;Otro;Estabilidad Máxima;0;134.13;0.03;Soluble;High;No;9.783382789317509;0.0004800061609451;Significant Increase;NON-Mutagenic;-1872.0;74529.0;74529.0;OTHER;10;10;10;10;10;10;60
49;StrainD;201.6;Ethanolamine;Polisacaridos y señales de reconocimiento;Estabilidad Moderada;3;61.08;0.67;Soluble;High;No;1.512853470437018;0.0466362401083201;Significant Increase;NON-Mutagenic;-1477.0;30025.0;30025.0;POL;10;10;10;7;10;5;52
50;StrainD;244.3;Glutaric Acid;Otro;Estabilidad Máxima;0;132.11;-0.21;Soluble;High;No;1.797250859106529;0.0367313992678471;Significant Increase;NON-Mutagenic;-1586.0;38511.0;38511.0;OTHER;10;10;10;10;10;10;60
51;StrainC;244.3;Glutaric Acid;Otro;Estabilidad Máxima;0;132.11;-0.21;Soluble;High;No;15.48797250859106;0.0180352060225444;Significant Increase;NON-Mutagenic;-1586.0;38511.0;38511.0;OTHER;10;10;10;10;10;10;60
52;StrainD;207.7;Glycine;Aminoacidos y precursores nitrogenados ;Asimilación Nutricional Inmediata;190;75.07;1.78;Soluble;High;No;1.339480708565882;0.0053472588845699;Significant Increase;NON-Mutagenic;-1444.0;27766.0;27766.0;AMI;10;10;10;5;10;0;45
53;StrainD;178.059;Glycolic Acid;Otro;Estabilidad Máxima;0;76.05;0.45;Soluble;High;No;2.168302945301543;0.0068643006300477;Significant Increase;NON-Mutagenic;-1336.0;21689.0;21689.0;OTHER;10;10;10;10;10;10;60
54;StrainC;178.059;Glycolic Acid;Otro;Estabilidad Máxima;0;76.05;0.45;Soluble;High;No;3.368863955119215;0.0028217380117055;Significant Increase;NON-Mutagenic;-1336.0;21689.0;21689.0;OTHER;10;10;10;10;10;10;60
55;StrainB;324.3;4-Amino-5-hydroxymethyl-2-methylpyrimidine;Otro;Estabilidad Máxima;0;139.16;-1.03;Soluble;High;No;1.268120805369128;0.0224471624499129;Significant Increase;Mutagenic;-1254.0;17.96;17.96;OTHER;10;10;10;10;8;10;58
56;StrainC;559.1;Homogentisic acid;Metabolitos de defensa y fitoprotección;Estabilidad Moderada;5;168.15;-1.66;Soluble;High;No;346.6037735849056;0.0044318518493872;Significant Increase;NON-Mutagenic;-0.863;7301.0;7301.0;DEF;10;10;10;7;10;5;52
57;StrainC;619.9;Hydroquinone;Otro;Estabilidad Máxima;0;110.11;-1.45;Soluble;High;Yes;16.50552486187845;0.0455155256672042;Significant Increase;NON-Mutagenic;-0.637;4.33;4.33;OTHER;10;10;0;10;5;10;45
58;StrainD;279.9;Hypoxanthine;Polisacaridos y señales de reconocimiento;Estabilidad Máxima;0;136.11;-1.86;Soluble;High;No;4.213276836158193;0.007405878662972;Significant Increase;NON-Mutagenic;-0.542;3483.0;3483.0;POL;10;10;10;10;10;10;60
59;StrainC;393.9;Indole-3-acetic acid;Fitohormonas y analogos hormonales;Estabilidad Máxima;0;175.18;-2.19;Soluble;High;Yes;105.0;0.0069599174711768;Significant Increase;NON-Mutagenic;-0.738;5467.0;5467.0;FIT;10;10;0;10;10;10;50
60;StrainB;393.9;Indole-3-acetic acid;Fitohormonas y analogos hormonales;Estabilidad Máxima;0;175.18;-2.19;Soluble;High;Yes;8.66;0.0287721745546579;Significant Increase;NON-Mutagenic;-0.738;5467.0;5467.0;FIT;10;10;0;10;10;10;50
61;StrainC;377.6;Indolepyruvic acid;Fitohormonas y analogos hormonales;Estabilidad Máxima;0;203.19;-2.16;Soluble;High;Yes;7.497345132743363;0.0033737329148161;Significant Increase;NON-Mutagenic;-1936.0;86377.0;86377.0;FIT;10;10;0;10;10;10;50
62;StrainD;319.6;Kynurenine;Aminoacidos y precursores nitrogenados ;Estabilidad Moderada;5;208.21;0.21;Soluble;High;No;1.682113821138211;0.042349473554085;Significant Increase;NON-Mutagenic;-1008.0;10188.0;10188.0;AMI;10;10;10;7;10;5;52
63;StrainD;479.4;3-(2-Hydroxyphenyl)propanoic acid;Otro;Estabilidad Máxima;0;166.17;-1.94;Soluble;High;Yes;1.780513176144244;0.0182886840810753;Significant Increase;NON-Mutagenic;-0.836;6848.0;6848.0;OTHER;10;10;0;10;10;10;50
64;StrainC;186.653;N-(6-Aminohexanoyl)-6-aminohexanoic acid;Otro;Estabilidad Máxima;0;244.33;0.77;Soluble;High;No;4.87871581450654;0.011491263927065;Significant Increase;NON-Mutagenic;-1294.0;19698.0;19698.0;OTHER;10;10;10;10;10;10;60
65;StrainC;239.2;Nicotinic acid;Solubilizadores y transportadores de nutrientes;Estabilidad Máxima;0;123.11;-1.26;Soluble;High;Yes;6.662650602409637;0.0451223925596809;Significant Increase;NON-Mutagenic;-0.362;2.3;2.3;SOL;10;10;0;10;5;10;45
66;StrainB;239.2;Nicotinic acid;Solubilizadores y transportadores de nutrientes;Estabilidad Máxima;0;123.11;-1.26;Soluble;High;Yes;5.898795180722891;0.0418385468254619;Significant Increase;NON-Mutagenic;-0.362;2.3;2.3;SOL;10;10;0;10;5;10;45
67;StrainD;168.3;Oxamic acid;Otro;Estabilidad Máxima;0;89.05;0.24;Soluble;High;No;1.355060943296237;0.0375327583542439;Significant Increase;NON-Mutagenic;-0.535;3.43;3.43;OTHER;10;10;10;10;5;10;55
68;StrainD;313.5;4-Aminobenzoic acid;Cofactores y vitaminas;Estabilidad Moderada;3;137.14;-1.59;Soluble;High;Yes;2.476802284082798;0.0411586423476171;Significant Increase;NON-Mutagenic;-2353.0;225634.0;225634.0;COF;10;10;0;7;10;5;42
69;StrainC;336.181;3-(4-Hydroxyphenyl)Pyruvic Acid;Aminoacidos y precursores nitrogenados ;Estabilidad Máxima;2;180.16;-1.67;Soluble;High;No;28.66438356164384;0.0142411161640393;Significant Increase;NON-Mutagenic;-0.475;2984.0;2984.0;AMI;10;10;10;10;10;10;60
70;StrainC;438.6;Phenylpyruvic Acid;Aminoacidos y precursores nitrogenados ;Estabilidad Máxima;0;164.16;-1.83;Soluble;High;Yes;38.36559139784946;0.017364516527115;Significant Increase;NON-Mutagenic;-0.726;5324.0;5324.0;AMI;10;10;0;10;10;10;50
71;StrainC;418.3;Phenylacetic Acid;Fitohormonas y analogos hormonales;Estabilidad Moderada;4;136.15;-1.88;Soluble;High;Yes;201.2;0.0057987963410586;Significant Increase;NON-Mutagenic;-1067.0;11675.0;11675.0;FIT;10;10;0;7;10;5;42
72;StrainB;470.9;Phenethylamine;Otro;Estabilidad Máxima;0;121.18;-1.84;Soluble;High;Yes;2.704665161775771;0.0433630320532652;Significant Increase;NON-Mutagenic;-1493.0;31089.0;31089.0;OTHER;10;10;0;10;10;10;50
73;StrainC;279.651;Picolinic Acid;Otro;Estabilidad Máxima;0;123.11;-1.48;Soluble;High;Yes;12.85714285714286;0.0147300936170277;Significant Increase;NON-Mutagenic;-0.392;2466.0;2466.0;OTHER;10;10;0;10;10;10;50
74;StrainB;279.651;Picolinic Acid;Otro;Estabilidad Máxima;0;123.11;-1.48;Soluble;High;Yes;6.362934362934364;0.0422166779616449;Significant Increase;NON-Mutagenic;-0.392;2466.0;2466.0;OTHER;10;10;0;10;10;10;50
75;StrainC;202.5;Porphobilinogen;Otro;Estabilidad Máxima;0;226.23;1.1;Soluble;High;No;3.705882352941176;0.0122926597354804;Significant Increase;NON-Mutagenic;-2.57;371236.0;371236.0;OTHER;10;10;10;10;10;10;60
76;StrainC;336.9;Pyridoxal;Cofactores y vitaminas;Estabilidad Máxima;0;167.16;-2.0;Soluble;High;No;32.82857142857143;0.0166529665394535;Significant Increase;NON-Mutagenic;-0.617;4144.0;4144.0;COF;10;10;10;10;10;10;60
77;StrainB;336.9;Pyridoxal;Cofactores y vitaminas;Estabilidad Máxima;0;167.16;-2.0;Soluble;High;No;3.92;0.0403508854140491;Significant Increase;NON-Mutagenic;-0.617;4144.0;4144.0;COF;10;10;10;10;10;10;60
78;StrainC;473.3;Pyridoxamine;Cofactores y vitaminas;Estabilidad Máxima;0;168.19;-0.3;Soluble;High;No;4.502332814930015;0.0249342058278352;Significant Increase;NON-Mutagenic;-1061.0;11516.0;11516.0;COF;10;10;10;10;10;10;60
79;StrainB;473.3;Pyridoxamine;Cofactores y vitaminas;Estabilidad Máxima;0;168.19;-0.3;Soluble;High;No;2.270606531881804;0.0049821012530004;Significant Increase;NON-Mutagenic;-1061.0;11516.0;11516.0;COF;10;10;10;10;10;10;60
80;StrainD;195.4;Citramalic acid;Solubilizadores y transportadores de nutrientes;Estabilidad Máxima;0;148.11;-0.02;Soluble;High;No;1.952681388012619;0.015667823466966;Significant Increase;NON-Mutagenic;-1243.0;17497.0;17497.0;SOL;10;10;10;10;10;10;60
81;StrainC;195.4;Citramalic acid;Solubilizadores y transportadores de nutrientes;Estabilidad Máxima;0;148.11;-0.02;Soluble;High;No;6.65615141955836;0.0091513893918246;Significant Increase;NON-Mutagenic;-1243.0;17497.0;17497.0;SOL;10;10;10;10;10;10;60
82;StrainB;93.7;Taurine;Otro;Estabilidad Máxima;0;125.15;2.11;Soluble;High;No;4.092465753424658;0.028016060121805;Significant Increase;NON-Mutagenic;-2141.0;138398.0;138398.0;OTHER;10;10;10;10;10;10;60
83;StrainD;155.8;Thiamine;Cofactores y vitaminas;Estabilidad Máxima;0;265.35;-2.32;Soluble;High;No;1.267316572601334;0.0004221844056577;Significant Increase;NON-Mutagenic;-0.207;1609.0;1609.0;COF;10;10;10;10;10;10;60
84;StrainC;155.8;Thiamine;Cofactores y vitaminas;Estabilidad Máxima;0;265.35;-2.32;Soluble;High;No;2.007696254489482;0.0231324377522681;Significant Increase;NON-Mutagenic;-0.207;1609.0;1609.0;COF;10;10;10;10;10;10;60
85;StrainC;355.228;Thymine;Otro;Estabilidad Máxima;0;126.11;-2.36;Soluble;High;No;16.67768595041322;2.384646288599225e-05;Significant Increase;NON-Mutagenic;-0.497;3139.0;3139.0;OTHER;10;10;10;10;10;10;60
86;StrainB;355.228;Thymine;Otro;Estabilidad Máxima;0;126.11;-2.36;Soluble;High;No;4.053719008264462;0.0485982789815932;Significant Increase;NON-Mutagenic;-0.497;3139.0;3139.0;OTHER;10;10;10;10;10;10;60
87;StrainD;260.6;Xanthine;Polisacaridos y señales de reconocimiento;Estabilidad Máxima;0;152.11;-2.35;Soluble;High;No;7.139150943396227;0.0184343789128609;Significant Increase;NON-Mutagenic;-0.771;5904.0;5904.0;POL;10;10;10;10;10;10;60
88;StrainC;148.247;1-Pyrroline-5-carboxylic acid;Osmoprotectores y tolerancia a estrés abiotico;Estabilidad Máxima;0;113.11;-0.16;Soluble;High;No;13.51923076923077;0.0037361634940155;Significant Increase;NON-Mutagenic;-0.863;7289.0;7289.0;OSM;10;10;10;10;10;10;60
89;StrainC;414.2;Isocitric acid;Solubilizadores y transportadores de nutrientes;Asimilación Nutricional Inmediata;116;192.12;0.43;Soluble;Low;No;2.420634920634921;0.0398095284510227;Significant Increase;NON-Mutagenic;-0.682;4807.0;4807.0;SOL;10;3;10;5;10;0;38
90;StrainC;231.1;3-Methoxy-4-hydroxymandelic acid;Metabolitos de defensa y fitoprotección;Estabilidad Máxima;0;198.17;-0.97;Soluble;High;No;6.574647887323944;0.0050042215116735;Significant Increase;NON-Mutagenic;-0.608;4058.0;4058.0;DEF;10;10;10;10;10;10;60
91;StrainC;306.4;2,4-Dihydroxybenzoic acid;Otro;Estabilidad Máxima;0;154.12;-2.16;Soluble;High;No;12.69208211143695;0.0235109619004483;Significant Increase;NON-Mutagenic;-0.912;8161.0;8161.0;OTHER;10;10;10;10;10;10;60
92;StrainC;404.911;Homovanillic acid;Otro;Estabilidad Máxima;0;182.17;-1.32;Soluble;High;No;7.090010683760683;5.575740176990867e-06;Significant Increase;NON-Mutagenic;-0.825;6688.0;6688.0;OTHER;10;10;10;10;10;10;60
93;StrainC;284.0;5-Hydroxyindoleacetic acid;Polisacaridos y señales de reconocimiento;Estabilidad Máxima;0;191.18;-2.03;Soluble;High;No;16.53968253968254;0.0111627646506655;Significant Increase;NON-Mutagenic;-0.584;3841.0;3841.0;POL;10;10;10;10;10;10;60
94;StrainC;492.6;Acetovanillone;Metabolitos de defensa y fitoprotección;Estabilidad Máxima;0;166.17;-1.43;Soluble;High;Yes;5.182814231195372;0.005562388281352;Significant Increase;NON-Mutagenic;-0.781;6044.0;6044.0;DEF;10;10;0;10;10;10;50
95;StrainC;256.467;N-Carboxyethyl-g-aminobutyric acid;Otro;Estabilidad Máxima;0;175.18;1.51;Soluble;High;No;5.127086007702183;0.004344706634831;Significant Increase;NON-Mutagenic;-0.774;5937.0;5937.0;OTHER;10;10;10;10;10;10;60
96;StrainB;279.058;Isomer 1 of N-Carboxyethyl-g-aminobutyric acid;Otro;Estabilidad Máxima;0;175.18;1.51;Soluble;High;No;1.922480620155039;0.0058100890955493;Significant Increase;NON-Mutagenic;-0.774;5937.0;5937.0;OTHER;10;10;10;10;10;10;60
97;StrainC;460.966;6-Dimethylaminopurine;Otro;Estabilidad Máxima;0;163.18;-1.79;Soluble;High;No;2.594944912508101;0.0210130312207191;Significant Increase;Mutagenic;-0.539;3461.0;3461.0;OTHER;10;10;10;10;10;10;60
98;StrainC;552.7;2,5-Dihydroxybenzoic acid /Protocatechuic acid /3,4-Dihydroxybenzoic acid;Fitohormonas y analogos hormonales;Estabilidad Máxima;1;154.12;-2.23;Soluble;High;No;2.19749652294854;0.0108245127320858;Significant Increase;NON-Mutagenic;-0.417;2613.0;2613.0;FIT;10;10;10;10;10;10;60
99;StrainD;118.1;Guanidine;Otro;Estabilidad Máxima;0;59.07;0.64;Soluble;High;No;1.779685966633954;0.0301731371680431;Significant Increase;NON-Mutagenic;-2395.0;248162.0;248162.0;OTHER;10;10;10;10;10;10;60
100;StrainB;118.1;Guanidine;Otro;Estabilidad Máxima;0;59.07;0.64;Soluble;High;No;1.733562315996074;0.023565445664102;Significant Increase;NON-Mutagenic;-2395.0;248162.0;248162.0;OTHER;10;10;10;10;10;10;60
101;StrainD;508.9;Isoformononetin;Polisacaridos y señales de reconocimiento;Estabilidad Máxima;2;268.26;-3.23;Moderately soluble;High;Yes;1.518165304268846;0.022716416451668;Significant Increase;NON-Mutagenic;-0.796;6246.0;6246.0;POL;5;10;0;10;10;10;45
102;StrainB;508.9;Isoformononetin;Polisacaridos y señales de reconocimiento;Estabilidad Máxima;0;268.26;-3.23;Moderately soluble;High;Yes;3.193006357856495;0.04651519785895;Significant Increase;NON-Mutagenic;-0.796;6246.0;6246.0;POL;5;10;0;10;10;10;45
