ID;Strain;RT_s;Compound;Clasificacion;BioTr_label;BioTr_count;MW;LogP;Silicos_class;GI_abs;BBB;Fold_change;p_value;Significance;Mutagenicity;pNOEC;NOEC;NOEC_num;cat;fqs_sol;fqs_gi;fqs_bbb;fqs_pers;fqs_noec;fqs_cin;FQS
740;StrainB;198.5;3'-Amino-3'-deoxy-AMP;Otro;Estabilidad Máxima;0;346.24;1.81;Soluble;Low;No;8.976635514018689;0.0130653404538052;Significant Increase;Mutagenic;-1966.0;92493.0;92493.0;OTHER;10;3;10;10;10;10;53
741;StrainC;490.2;S-(Hydroxyphenylacetothiohydroximoyl)-L-cysteine;Otro;Estabilidad Máxima;0;270.3;-0.46;Soluble;High;No;3.711845930232558;0.022377311013149;Significant Increase;NON-Mutagenic;-0.834;6826.0;6826.0;OTHER;10;10;10;10;10;10;60
742;StrainB;178.2;3-Amino-2,3-dideoxy-scyllo-inosose;Otro;Estabilidad Máxima;0;161.16;1.04;Soluble;Low;No;1.390638670166229;0.0010436493128215;Significant Increase;NON-Mutagenic;-1096.0;12476.0;12476.0;OTHER;10;3;10;10;10;10;53
743;StrainB;574.1;1-(3,4-Dihydroxyphenyl)-1-decene-3,5-dione;Otro;Estabilidad Máxima;0;276.33;-3.75;Soluble;High;Yes;1.57814291173099;0.0198640966069843;Significant Increase;NON-Mutagenic;-0.825;6685.0;6685.0;OTHER;10;10;0;10;10;10;50
744;StrainC;195.8;N-Acetylbialaphos;Otro;Estabilidad Máxima;0;365.32;0.15;Soluble;Low;No;8.036850921273032;0.0034025762164931;Significant Increase;Mutagenic;-2945.0;880.61;880.61;OTHER;10;3;10;10;10;10;53
745;StrainC;355.0;3,4-Dihydroxyphenylvaleric acid;Otro;Estabilidad Máxima;0;210.23;-2.21;Soluble;High;No;4.462025316455697;0.0003615161021933;Significant Increase;NON-Mutagenic;-0.97;9.33;9.33;OTHER;10;10;10;10;5;10;55
746;StrainB;298.3;N-Hydroxy-L-isoleucine;Otro;Estabilidad Máxima;0;147.17;0.56;Soluble;High;No;2.986883525708289;0.0464975859785151;Significant Increase;NON-Mutagenic;-1537.0;34449.0;34449.0;OTHER;10;10;10;10;10;10;60
747;StrainC;311.0;Salicylate beta-D-Glucose Ester;Polisacaridos y señales de reconocimiento;Estabilidad Máxima;0;300.26;-1.55;Soluble;Low;No;5.155932203389831;0.0090237456031646;Significant Increase;NON-Mutagenic;-0.732;5399.0;5399.0;POL;10;3;10;10;10;10;53
748;StrainB;311.0;Salicylate beta-D-Glucose Ester;Polisacaridos y señales de reconocimiento;Estabilidad Máxima;0;300.26;-1.55;Soluble;Low;No;2.796610169491525;0.0227184047936311;Significant Increase;NON-Mutagenic;-0.732;5399.0;5399.0;POL;10;3;10;10;10;10;53
749;StrainC;260.6;2,4-Diketo-3-deoxy-L-fuconic acid;Otro;Estabilidad Máxima;0;160.12;-0.11;Soluble;High;No;4.442073170731708;0.0171818909414953;Significant Increase;NON-Mutagenic;-0.484;3048.0;3048.0;OTHER;10;10;10;10;10;10;60
750;StrainC;290.98;Cysteineglutathione disulfide;Antioxidades y captadores de ROS;Estabilidad Máxima;0;426.47;3.42;Soluble;Low;No;1.477893368010403;0.0248344405748238;Significant Increase;Mutagenic;-0.773;5933.0;5933.0;AOX;10;3;10;10;10;10;53
751;StrainB;290.98;Cysteineglutathione disulfide;Antioxidades y captadores de ROS;Estabilidad Máxima;0;426.47;3.42;Soluble;Low;No;2.160598179453836;0.0330016779849621;Significant Increase;Mutagenic;-0.773;5933.0;5933.0;AOX;10;3;10;10;10;10;53
752;StrainC;359.128;Vinylacetylglycine;Otro;Estabilidad Máxima;0;143.14;-1.03;Soluble;High;No;2.072153928380545;0.0254882862666977;Significant Increase;Mutagenic;-0.76;5749.0;5749.0;OTHER;10;10;10;10;10;10;60
753;StrainC;342.682;2,8-Dihydroxyquinoline-beta-D-glucuronide;Otro;Estabilidad Máxima;0;337.28;-2.21;Soluble;Low;No;6.108853410740202;0.0062338343804084;Significant Increase;Mutagenic;-1883.0;76394.0;76394.0;OTHER;10;3;10;10;10;10;53
754;StrainB;342.682;2,8-Dihydroxyquinoline-beta-D-glucuronide;Otro;Estabilidad Máxima;0;337.28;-2.21;Soluble;Low;No;2.483309143686502;0.0339211601805055;Significant Increase;Mutagenic;-1883.0;76394.0;76394.0;OTHER;10;3;10;10;10;10;53
755;StrainC;479.729;5'-Carboxy-alpha-chromanol;Otro;Estabilidad Máxima;0;320.42;-4.47;Moderately soluble;High;Yes;2.810502507621201;0.0065234877997356;Significant Increase;NON-Mutagenic;-1797.0;62691.0;62691.0;OTHER;5;10;0;10;10;10;45
756;StrainC;189.3;(4R,5R)-4,5-Dihydroxycyclohexa-1(6),2-diene-1-carboxylic acid;Otro;Estabilidad Máxima;0;156.14;-0.23;Soluble;High;No;16.46254784034992;0.0004478749554906;Significant Increase;NON-Mutagenic;-0.603;4011.0;4011.0;OTHER;10;10;10;10;10;10;60
757;StrainC;286.0;N-Acetyl-Kynurenine;Otro;Estabilidad Máxima;0;250.25;-1.46;Soluble;High;No;4.39227895392279;0.0019068346782994;Significant Increase;NON-Mutagenic;-0.908;8094.0;8094.0;OTHER;10;10;10;10;10;10;60
758;StrainB;286.0;N-Acetyl-Kynurenine;Otro;Estabilidad Máxima;0;250.25;-1.46;Soluble;High;No;2.122042341220423;0.0367260600200071;Significant Increase;NON-Mutagenic;-0.908;8094.0;8094.0;OTHER;10;10;10;10;10;10;60
759;StrainD;231.1;2-Hydroxyethylenedicarboxylic acid;Otro;Estabilidad Máxima;0;132.07;-0.5;Soluble;High;No;1.682069510268563;0.0245291427325459;Significant Increase;NON-Mutagenic;-0.87;7416.0;7416.0;OTHER;10;10;10;10;10;10;60
760;StrainD;137.42;5-Carboxymethyl-2-hydroxymuconic acid;Otro;Estabilidad Máxima;0;216.14;-0.55;Soluble;High;No;3.475213675213676;0.0233370078593699;Significant Increase;NON-Mutagenic;-0.596;3946.0;3946.0;OTHER;10;10;10;10;10;10;60
761;StrainC;137.42;5-Carboxymethyl-2-hydroxymuconic acid;Otro;Estabilidad Máxima;0;216.14;-0.55;Soluble;High;No;3.958974358974359;0.0049200766629435;Significant Increase;NON-Mutagenic;-0.596;3946.0;3946.0;OTHER;10;10;10;10;10;10;60
762;StrainD;424.682;Novobiocic acid;Otro;Estabilidad Máxima;0;395.41;-4.34;Moderately soluble;High;No;1.471855760773966;0.0420864658830892;Significant Increase;NON-Mutagenic;-2141.0;138348.0;138348.0;OTHER;5;10;10;10;10;10;55
763;StrainC;424.682;Novobiocic acid;Otro;Estabilidad Máxima;0;395.41;-4.34;Moderately soluble;High;No;2.751539138082673;0.0106330859967737;Significant Increase;NON-Mutagenic;-2141.0;138348.0;138348.0;OTHER;5;10;10;10;10;10;55
